model,interval,siteID,runStartDate,runEndDate,ensemble,air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,specific_humidity,cloud_area_fraction,wind_speed,time,latitude,longitude
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,298.3157653808594,101120.0234375,0.6815171241760254,NA,NA,NA,0.013520248234272003,NA,2.6294634342193604,2021-05-01T00:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,294.915771484375,101222.8046875,0.8620499968528748,383,0,0,0.013917351141571999,0.8299999833106995,2.0440077781677246,2021-05-01T06:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,292.3113098144531,101400.25,0.5760000348091125,351,17,0,0.00787503831088543,0.75,2.2171216011047363,2021-05-01T12:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,303.12255859375,101328.4921875,0.3199999928474426,349,725,0,0.008368794806301594,0.5699999928474426,3.00054931640625,2021-05-01T18:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,296.73944091796875,101220.0859375,0.6565033197402954,377,557,0,0.01182559598237276,0.3199999928474426,4.444319248199463,2021-05-02T00:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,293.4236755371094,101277.8359375,0.8840000033378601,366,0,0,0.013006309978663921,0.6600000262260437,2.9146671295166016,2021-05-02T06:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,294.5247497558594,101306.7734375,0.8320361375808716,371,13,0,0.013097621500492096,0.949999988079071,3.446371555328369,2021-05-02T12:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,302.84954833984375,101140.3046875,0.5230666995048523,396,644,3.2407406251877546e-5,0.01353328488767147,0.8600000143051147,2.8549141883850098,2021-05-02T18:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,296.535888671875,101064.859375,0.8613302111625671,407,358,4.814815183635801e-4,0.015382159501314163,1,1.29655122756958,2021-05-03T00:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,294.3236999511719,101062.5234375,0.9078834056854248,385,0,0,0.014159495010972023,1,0.8569840788841248,2021-05-03T06:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,294.9552001953125,101123.5625,0.885845959186554,370,17,0,0.014353885315358639,0.5199999809265137,2.6325387954711914,2021-05-03T12:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,306.29718017578125,101078.5625,0.39428985118865967,395,705,0,0.012412858195602894,0.44999998807907104,4.102228164672852,2021-05-03T18:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,300.53814697265625,101055.3359375,0.5488985776901245,415,512,0,0.012417948804795742,0.44999998807907104,3.649204730987549,2021-05-04T00:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,295.0854187011719,101230.8359375,0.8379968404769897,378,0,0,0.013666858896613121,1,1.748610258102417,2021-05-04T06:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,296.2696533203125,101311.03125,0.8070000410079956,366,17,0,0.014136678539216518,0.8299999833106995,2.20866060256958,2021-05-04T12:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,307.6348571777344,101241.3359375,0.3461333215236664,399,731,0,0.011719854548573494,0.36000001430511475,3.7103054523468018,2021-05-04T18:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,301.2301940917969,101078.015625,0.49955835938453674,413,535,0,0.011761220172047615,0.49000000953674316,3.379222869873047,2021-05-05T00:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,295.9651794433594,101285.109375,0.8134751319885254,385,0,0,0.013991962186992168,0.6200000047683716,1.6514638662338257,2021-05-05T06:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,296.7953796386719,101367.1796875,0.8535332679748535,380,12,0,0.015437834896147251,0.9900000095367432,2.8197271823883057,2021-05-05T12:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,306.344970703125,101233.0859375,0.41729000210762024,407.078857421875,665,0,0.013158081099390984,0.7900000214576721,6.259695529937744,2021-05-05T18:00:00Z,29.67647,277.99091
NOAAGEFS,6hr,BARC,2021-05-01T00,2021-05-17T00,ens00,300.1617431640625,101247.2734375,0.6469999551773071,418,515,9.259259059035685e-6,0.01430651918053627,0.5,1.9538516998291016,2021-05-06T00:00:00Z,29.67647,277.99091
