datetime,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Air_Temperature_celsius,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2017-08-01 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-02 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-03 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-04 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-05 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-06 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-07 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-08 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-09 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-10 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-11 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-12 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-13 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-14 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-15 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-16 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-17 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-18 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-19 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-20 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-21 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-22 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-23 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-24 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-25 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-26 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-27 00:00:00,212.8094286,443.42,26.24952083,81.6425,NA,0,0,100000
2017-08-28 00:00:00,139.225625,446.2416667,25.57735417,81.78125,NA,0,0,100000
2017-08-29 00:00:00,216.5935417,425.0729167,25.63877083,81.94583333,NA,0,0,100000
2017-08-30 00:00:00,264.84375,431.8270833,26.95958333,82.401875,0.963333333,0,0,100000
2017-08-31 00:00:00,239.0116667,416.50625,27.6605,82.42854167,1.161875,0,0,100000
2017-09-01 00:00:00,229.0320833,420.2875,NA,82.23354167,1.233541667,0,0,100000
2017-09-02 00:00:00,109.0527083,421.8375,NA,81.9725,1.039375,0,0,100000
2017-09-03 00:00:00,277.4052083,400.06875,NA,82.35395833,0.632291667,0,0,100000
2017-09-04 00:00:00,186.881875,411.4895833,NA,82.35020833,0.749791667,0,0,100000
2017-09-05 00:00:00,198.3141667,411.93125,NA,82.386875,0.763333333,0,0,100000
2017-09-06 00:00:00,132.071875,425.84375,NA,82.32854167,0.942083333,0,0,100000
2017-09-07 00:00:00,194.1277083,417.4958333,NA,82.14416667,1.411875,0,0,100000
2017-09-08 00:00:00,216.35875,409.9708333,NA,82.20854167,2.399166667,0,0,100000
2017-09-09 00:00:00,146.0670833,437.7854167,NA,82.158125,2.970625,0,0,100000
2017-09-10 00:00:00,22.43875,435.475,NA,82.22270833,3.514791667,0,0,100000
2017-09-11 00:00:00,-0.032857143,437.0142857,NA,82.77020833,5.927142857,0,0,100000
2017-09-12 00:00:00,NA,NA,NA,82.45375,NA,0,0,100000
2017-09-13 00:00:00,NA,NA,NA,82.37854167,NA,0,0,100000
2017-09-14 00:00:00,383.1556667,412.6933333,NA,82.60958333,NA,0,0,100000
2017-09-15 00:00:00,210.3135417,430.6125,NA,82.70895833,NA,0,0,100000
2017-09-16 00:00:00,163.4445833,418.6520833,NA,82.51729167,NA,0,0,100000
2017-09-17 00:00:00,243.241875,393.4875,NA,82.22145833,1.621351351,0,0,100000
2017-09-18 00:00:00,222.87125,387.3520833,NA,81.868125,1.328541667,0,0,100000
2017-09-19 00:00:00,219.0879167,383.5854167,NA,81.56708333,0.711875,0,0,100000
2017-09-20 00:00:00,225.4447917,392.6041667,NA,81.58208333,0.546875,0,0,100000
2017-09-21 00:00:00,217.0704167,398.4,NA,81.36833333,0.977291667,0,0,100000
2017-09-22 00:00:00,236.0470833,390.8354167,NA,81.08479167,1.67625,0,0,100000
2017-09-23 00:00:00,195.6841667,408.0291667,NA,81.035,1.581875,0,0,100000
2017-09-24 00:00:00,241.548125,403.7166667,NA,81.23270833,1.918333333,0,0,100000
2017-09-25 00:00:00,248.898125,394.4041667,NA,81.098125,1.113125,0,0,100000
2017-09-26 00:00:00,257.2254167,391.7270833,NA,80.96625,0.901458333,0,0,100000
2017-09-27 00:00:00,249.7745833,392.9125,NA,80.941875,0.72,0,0,100000
2017-09-28 00:00:00,199.85125,399.6229167,NA,80.720625,0.52,0,0,100000
2017-09-29 00:00:00,239.0745833,403.54375,NA,80.46291667,1.029375,0,0,100000
2017-09-30 00:00:00,106.75375,432.3708333,NA,80.21354167,1.63125,0,0,100000
2017-10-01 00:00:00,51.65291667,438.2625,NA,80.22354167,2.272916667,0,0,100000
2017-10-02 00:00:00,210.5735417,408.35,NA,80.37041667,2.363125,0,0,100000
2017-10-03 00:00:00,195.8372917,396.6916667,NA,80.05770833,2.487916667,0,0,100000
2017-10-04 00:00:00,203.7914583,397.2895833,NA,79.85083333,2.401041667,0,0,100000
2017-10-05 00:00:00,136.408125,400.20625,NA,79.79375,2.545208333,0,0,100000
2017-10-06 00:00:00,180.7797917,435.01875,NA,80.38375,1.275416667,0,0,100000
2017-10-07 00:00:00,164.8808333,431.35625,NA,80.90270833,1.572083333,0,0,100000
2017-10-08 00:00:00,151.7391667,435.6333333,NA,80.90104167,1.998125,0,0,100000
2017-10-09 00:00:00,215.975,431.2375,NA,81.22,1.036666667,0,0,100000
2017-10-10 00:00:00,207.2564583,413.36875,NA,56.02166667,1.04375,0,0,100000
2017-10-11 00:00:00,222.1785417,399.9458333,NA,61.08625,0.884583333,0,0,100000
2017-10-12 00:00:00,236.7697917,377.8229167,NA,69.59104167,1.301041667,0,0,100000
2017-10-13 00:00:00,202.7314583,388.4479167,NA,79.6175,1.742083333,0,0,100000
2017-10-14 00:00:00,222.3957447,389.9875,NA,80.45083333,1.959791667,0,0,100000
2017-10-15 00:00:00,179.6410417,398.575,NA,80.9725,1.278958333,0,0,100000
2017-10-16 00:00:00,202.1379167,403.825,NA,80.34708333,0.659791667,0,0,100000
2017-10-17 00:00:00,92.21229167,410.1958333,NA,64.85104167,2.723333333,0,0,100000
2017-10-18 00:00:00,176.478125,362.5020833,NA,41.85770833,2.632727273,0,0,100000
2017-10-19 00:00:00,122.90375,388.9458333,NA,57.16541667,NA,0,0,100000
2017-10-20 00:00:00,213.0754167,375.9020833,NA,79.84625,NA,0,0,100000
2017-10-21 00:00:00,178.3529167,373.3979167,NA,80.11479167,NA,0,0,100000
2017-10-22 00:00:00,164.3729167,415.20625,NA,80.47291667,NA,0,0,100000
2017-10-23 00:00:00,96.13770833,423.6666667,NA,80.59458333,NA,0,0,100000
2017-10-24 00:00:00,231.5036957,362.5770833,NA,74.344375,NA,0,0,100000
2017-10-25 00:00:00,243.0243182,302.5083333,NA,69.91833333,NA,0,0,100000
