datetime	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Air_Temperature_celsius	Dewpoint_Air_Temperature_Celsius	Ten_Meter_Elevation_Wind_Speed_meterPerSecond
1	367.73469262080005	26.24952083	22.57802083	NA
2	240.58188000000007	25.57735417	21.93360417	NA
3	374.2736400576001	25.63877083	22.027937496	NA
4	457.65000000000003	26.95958333	23.439958330000003	0.963333333
5	413.01216005760006	27.6605	24.146208334	1.161875
6	395.7674399424	NA	NA	1.233541667
7	188.4430799424	NA	NA	1.039375
8	479.3561999424001	NA	NA	0.632291667
9	322.93188000000004	NA	NA	0.749791667
10	342.6868800576	NA	NA	0.763333333
11	228.22020000000003	NA	NA	0.942083333
12	335.4526799424	NA	NA	1.411875
13	373.86792	NA	NA	2.399166667
14	252.40391994240005	NA	NA	2.970625
15	38.77416	NA	NA	3.514791667
16	-0.056777143104000005	NA	NA	5.927142857
17	NA	NA	NA	NA
18	NA	NA	NA	NA
19	662.0929920576	NA	NA	NA
20	363.4218000576001	NA	NA	NA
21	282.4322399424	NA	NA	NA
22	420.32196000000005	NA	NA	1.621351351
23	385.12152000000003	NA	NA	1.328541667
24	378.5839200576	NA	NA	0.711875
25	389.5686000576	NA	NA	0.546875
26	375.09768005760003	NA	NA	0.977291667
27	407.8893599424	NA	NA	1.67625
28	338.1422400576	NA	NA	1.581875
29	417.39516000000003	NA	NA	1.918333333
30	430.0959600000001	NA	NA	1.113125
31	444.48552005760007	NA	NA	0.901458333
32	431.6104799424	NA	NA	0.72
33	345.34296	NA	NA	0.52
34	413.12087994240005	NA	NA	1.029375
35	184.47048	NA	NA	1.63125
36	89.25624000576002	NA	NA	2.272916667
37	363.8710800576	NA	NA	2.363125
38	338.40684005760005	NA	NA	2.487916667
39	352.1516399424	NA	NA	2.401041667
40	235.71324000000004	NA	NA	2.545208333
41	312.3874800576	NA	NA	1.275416667
42	284.91407994240006	NA	NA	1.572083333
43	262.2052800576	NA	NA	1.998125
44	373.20480000000003	NA	NA	1.036666667
45	358.1391599424	NA	NA	1.04375
46	383.9245200576001	NA	NA	0.884583333
47	409.1382000576001	NA	NA	1.301041667
48	350.3199599424001	NA	NA	1.742083333
49	384.2998468416	NA	NA	1.959791667
50	310.4197200576	NA	NA	1.278958333
51	349.2943200576001	NA	NA	0.659791667
52	159.34284000576	NA	NA	2.723333333
53	304.95420000000007	NA	NA	2.632727273
54	212.37768000000003	NA	NA	NA
55	368.1943200576	NA	NA	NA
56	308.1938400576	NA	NA	NA
57	284.03640005759996	NA	NA	NA
58	166.12595999424002	NA	NA	NA
59	400.0383861696001	NA	NA	NA
60	419.94602184960013	NA	NA	NA
61	656.7621943104001	NA	NA	NA
62	393.44961600000005	NA	NA	NA
63	276.98112	NA	NA	NA
64	385.513419168	NA	NA	NA
65	748.0288799424	NA	NA	NA
66	409.40516568960004	NA	NA	0.915
67	321.2570880576	NA	NA	0.679791667
68	319.09788000000003	NA	NA	0.750416667
69	328.04603994240006	NA	NA	0.85375
70	335.3853140352	NA	NA	0.076
71	205.51860000000002	NA	NA	NA
72	319.86144	NA	NA	0.794285714
73	324.42012	NA	NA	0.476086957
74	285.74424000000005	NA	NA	0.471395349
75	208.47996	NA	NA	0.583541667
76	128.71583999424	NA	NA	2.337916667
77	214.35335994240006	NA	NA	2.188333333
78	253.55916000000002	NA	NA	2.135416667
79	258.8709599424	NA	NA	1.933333333
80	186.5163599424	NA	NA	2.3575
81	211.13316005760004	NA	NA	2.462708333
82	325.012758336	NA	NA	1.157291667
83	305.6662799424	NA	NA	0.836875
84	308.3112307008	NA	NA	0.846875
85	158.82804000000004	NA	NA	1.307708333
86	390.4502400000001	NA	NA	1.720625
87	133.1748	NA	NA	0.749583333
88	274.99284000000006	NA	NA	1.243541667
89	31.4172	NA	NA	2.193333333
90	214.63847994240004	NA	NA	2.335625
91	279.0504000000001	NA	NA	0.617916667
92	280.00728000000004	NA	NA	0.595208333
93	268.68348000000003	NA	NA	1.016041667
94	229.4614877184	NA	NA	1.247446809
95	266.25097526400003	NA	NA	1.238928571
96	269.26822949760003	NA	NA	0.753043478
97	258.32754385920003	NA	NA	0.232045455
98	260.727401664	NA	NA	0.687105263
99	213.54476929920003	NA	NA	0.712093023
100	204.6538799424	NA	NA	1.086041667
101	248.95439994240002	NA	NA	0.649555556
102	233.1241200576	NA	NA	1.299767442
103	39.02399999424	NA	NA	2.105384615
104	32.65884000576	NA	NA	1.810909091
105	130.85224850880002	NA	NA	2.301666667
106	560.1989376000001	NA	NA	1.429166667
107	300.9661439616001	NA	NA	0.721041667
108	303.360446592	NA	NA	1.55
109	528.4297108224	NA	NA	1.246875
110	256.3318799424	NA	NA	0.775833333
111	180.24020760960002	NA	NA	0.501142857
112	NA	NA	NA	NA
113	NA	NA	NA	NA
114	NA	NA	NA	NA
115	657.0316800576	NA	NA	2.6
116	498.18240000000003	NA	NA	3.024736842
117	252.07848	NA	NA	1.540416667
118	266.74091994240007	NA	NA	0.919782609
119	217.10916	NA	NA	1.370625
120	190.70928005759998	NA	NA	1.9
121	281.92246473600005	NA	NA	1.944166667
122	297.67077815040005	NA	NA	1.496875
123	159.47279999999998	NA	NA	1.7475
124	49.97951999424001	NA	NA	2.150555556
125	80.68931999424001	NA	NA	NA
126	191.4240835008	NA	NA	NA
127	240.10302631680003	NA	NA	NA
128	32.52131999424	NA	NA	NA
129	104.60520000576	NA	NA	NA
130	100.51740000576001	NA	NA	NA
131	470.233728	NA	NA	NA
132	-8.1648	NA	NA	NA
133	NA	NA	NA	NA
134	NA	NA	NA	NA
